"Date","Price","Open","High","Low","Change %"
"May 10, 2017","114.28","113.98","114.36","113.62","0.26%"
"May 09, 2017","113.98","113.25","114.33","113.11","0.64%"
"May 08, 2017","113.25","112.98","113.31","112.38","0.47%"
"May 05, 2017","112.72","112.45","112.83","112.08","0.23%"
"May 04, 2017","112.46","112.74","113.05","112.30","-0.26%"
"May 03, 2017","112.75","112.00","112.80","111.95","0.69%"
"May 02, 2017","111.98","111.86","112.33","111.78","0.13%"
"May 01, 2017","111.84","111.30","111.93","111.19","0.26%"
"Apr 28, 2017","111.55","111.25","111.72","111.06","0.25%"
"Apr 27, 2017","111.27","111.06","111.61","111.00","0.19%"
"Apr 26, 2017","111.06","111.11","111.80","110.88","-0.03%"
"Apr 25, 2017","111.09","109.77","111.19","109.58","1.20%"
"Apr 24, 2017","109.77","110.25","110.64","109.64","0.63%"
"Apr 21, 2017","109.08","109.33","109.44","108.86","-0.22%"
"Apr 20, 2017","109.32","108.85","109.49","108.70","0.42%"
"Apr 19, 2017","108.86","108.42","109.19","108.36","0.41%"
"Apr 18, 2017","108.42","108.92","109.23","108.31","-0.45%"
"Apr 17, 2017","108.91","108.67","109.06","108.12","0.25%"
"Apr 14, 2017","108.64","109.09","109.25","108.55","-0.41%"
"Apr 13, 2017","109.09","109.02","109.41","108.72","0.06%"
"Apr 12, 2017","109.03","109.63","109.89","108.96","-0.54%"
"Apr 11, 2017","109.62","110.94","110.97","109.60","-1.19%"
"Apr 10, 2017","110.94","111.09","111.58","110.78","-0.12%"
"Apr 07, 2017","111.07","110.81","111.38","110.13","0.23%"
"Apr 06, 2017","110.81","110.69","111.14","110.28","0.10%"
"Apr 05, 2017","110.70","110.77","111.47","110.53","-0.05%"
"Apr 04, 2017","110.75","110.89","110.97","110.27","-0.13%"
"Apr 03, 2017","110.89","111.41","111.61","110.84","-0.45%"
"Mar 31, 2017","111.39","111.92","112.20","111.22","-0.47%"
"Mar 30, 2017","111.92","111.06","111.97","110.94","0.78%"
"Mar 29, 2017","111.05","111.14","111.33","110.70","-0.10%"
"Mar 28, 2017","111.16","110.69","111.22","110.19","0.45%"
"Mar 27, 2017","110.66","111.23","111.27","110.10","-0.61%"
"Mar 24, 2017","111.34","110.94","111.50","110.61","0.36%"
"Mar 23, 2017","110.94","111.17","111.58","110.61","-0.20%"
"Mar 22, 2017","111.16","111.70","111.81","110.72","-0.50%"
